Name, Height (Inches), Height(Feet-Inches), Weight,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jimmy Butler,79, 6-7,220,74,SG,25,CHI,65,65,38.7,6.5,14.0,.462,1.1,3.0,.378,5.4,11.1,.484,.502,5.9,7.1,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0
Joakim Noah,83, 6-11,232,343,C,29,CHI,67,67,30.6,2.8,6.4,.445,0.0,0.0,.000,2.8,6.3,.447,.445,1.6,2.6,.603,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3.0,7.2
Jodie Meeks,76, 6-4,208,314,SG,27,DET,60,0,24.4,3.7,8.9,.416,1.2,3.5,.349,2.5,5.4,.460,.485,2.4,2.7,.906,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1
Joe Johnson,80, 6-8,225,246,SG,33,BRK,80,80,34.9,5.6,12.8,.435,1.5,4.2,.359,4.1,8.6,.472,.494,1.8,2.2,.801,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4
Joey Dorsey,80, 6-8,268,129,PF,31,HOU,69,17,12.4,1.2,2.1,.552,0.0,0.0,.000,1.2,2.1,.556,.552,0.3,1.2,.289,1.5,2.6,4.0,0.4,0.6,0.4,0.6,2.3,2.7
John Jenkins,76, 6-4,215,239,SG,23,ATL,24,3,12.4,2.0,4.1,.495,0.9,2.2,.404,1.2,2.0,.596,.601,0.7,0.8,.842,0.1,1.5,1.6,0.5,0.4,0.0,0.3,0.6,5.6
John Salmons,79, 6-7,210,398,SF,35,NOP,21,0,12.9,0.8,2.3,.333,0.4,1.2,.308,0.4,1.0,.364,.417,0.1,0.2,.500,0.2,0.8,1.0,0.6,0.4,0.2,0.2,1.2,2.0
John Wall,76, 6-4,195,462,PG,24,WAS,79,79,35.9,6.6,14.8,.445,0.8,2.7,.300,5.7,12.0,.478,.473,3.6,4.6,.785,0.5,4.2,4.6,10.0,1.7,0.6,3.8,2.3,17.6
Jon Leuer,82, 6-10,228,282,PF,25,MEM,63,6,13.1,1.9,4.3,.443,0.1,0.5,.241,1.8,3.9,.467,.456,0.6,0.9,.627,0.8,2.5,3.3,0.7,0.3,0.1,0.6,1.4,4.5
Jonas Jerebko,82, 6-10,231,241,PF,27,TOT,75,0,16.4,2.3,5.1,.446,0.7,1.9,.386,1.5,3.2,.481,.517,0.7,0.9,.848,1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6.0
Jonas Valanciunas,83, 6-11,231,452,C,22,TOR,80,80,26.2,4.7,8.2,.572,0.0,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,8.7,0.5,0.4,1.2,1.4,2.8,12.0
Jordan Farmar,74, 6-2,180,151,PG,28,LAC,36,0,14.7,1.7,4.4,.386,1.0,2.7,.361,0.7,1.7,.426,.497,0.3,0.3,.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6
Jordan Hill,82, 6-10,235,215,C,27,LAL,70,57,26.8,5.1,11.1,.459,0.0,0.2,.273,5.1,10.9,.462,.461,1.8,2.4,.738,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12.0
Jorge Gutierrez,75, 6-3,191,191,PG,26,TOT,20,1,8.8,1.1,2.1,.537,0.0,0.2,.000,1.1,1.9,.579,.537,0.5,0.7,.692,0.3,1.0,1.3,1.1,0.3,0.0,0.6,1.3,2.7
Jose Calderon,75, 6-3,210,80,PG,33,NYK,42,42,30.2,3.5,8.4,.415,1.4,3.4,.415,2.1,5.0,.415,.499,0.7,0.8,.906,0.5,2.5,3.0,4.7,0.7,0.0,1.8,1.8,9.1
Josh McRoberts,82, 6-10,240,313,PF,27,MIA,17,4,17.4,1.6,3.1,.528,0.5,1.1,.421,1.2,2.0,.588,.604,0.5,0.8,.615,0.4,2.2,2.6,1.9,0.7,0.2,1.3,2.4,4.2
Josh Smith,81, 6-9,225,417,PF,29,TOT,83,35,27.7,5.0,11.9,.419,0.9,2.7,.316,4.1,9.1,.451,.456,1.5,3.1,.498,1.8,4.6,6.4,3.3,1.0,1.4,2.5,2.7,12.4
Jrue Holiday,75, 6-3,180,218,PG,24,NOP,40,37,32.6,6.0,13.4,.446,1.3,3.4,.378,4.7,10.0,.469,.493,1.6,1.9,.855,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8
Justin Hamilton,84, 7-0,260,194,C,24,TOT,41,14,17.4,2.1,4.3,.478,0.2,0.8,.323,1.8,3.6,.510,.506,1.0,1.1,.830,1.4,1.9,3.3,0.9,0.7,0.7,0.6,1.7,5.3
Justin Holiday,78, 6-6,185,219,SG,25,GSW,59,4,11.1,1.5,4.0,.387,0.6,1.8,.321,0.9,2.1,.444,.462,0.6,0.8,.822,0.2,1.0,1.2,0.8,0.7,0.2,0.5,0.9,4.3
Kawhi Leonard,79, 6-7,225,280,SF,23,SAS,64,64,31.8,6.2,12.8,.479,1.0,3.0,.349,5.1,9.8,.519,.520,3.2,3.9,.802,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2.0,16.5
Kelly Olynyk,84, 7-0,238,352,C,23,BOS,64,13,22.2,3.9,8.3,.475,1.0,2.7,.349,3.0,5.5,.538,.533,1.5,2.1,.684,1.4,3.3,4.7,1.7,1.0,0.6,1.5,3.3,10.3
Kemba Walker,73, 6-1,172,461,PG,24,CHO,62,58,34.2,6.1,15.8,.385,1.4,4.5,.304,4.7,11.3,.418,.429,3.8,4.6,.827,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5,17.3
Kendall Marshall,76, 6-4,195,296,PG,23,MIL,28,3,14.9,1.6,3.6,.455,0.6,1.6,.391,1.0,2.0,.509,.545,0.3,0.3,.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2
Kendrick Perkins,82, 6-10,280,365,C,30,TOT,68,3,16.9,1.5,3.3,.449,0.0,0.0,.000,1.5,3.3,.451,.449,0.6,1.2,.506,1.3,3.4,4.7,0.8,0.2,0.6,1.4,2.4,3.6
Kenneth Faried,80, 6-8,228,150,PF,25,DEN,75,71,27.8,5.0,9.8,.507,0.0,0.1,.125,5.0,9.7,.511,.507,2.7,3.8,.691,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6
Kent Bazemore,77, 6-5,201,40,SG,25,ATL,75,10,17.7,1.9,4.4,.426,0.6,1.8,.364,1.2,2.7,.467,.498,0.8,1.3,.600,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,5.2
Kentavious Caldwell-Pope,77, 6-5,205,81,SG,21,DET,82,82,31.5,4.8,11.9,.401,1.9,5.4,.345,2.9,6.4,.449,.480,1.3,1.9,.696,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2.0,12.7
Kevin Durant,81, 6-9,215,139,SF,26,OKC,27,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4
Kevin Garnett,83, 6-11,220,165,PF,38,TOT,47,47,20.3,3.0,6.5,.467,0.0,0.1,.143,3.0,6.4,.475,.469,0.8,1.0,.800,1.0,5.6,6.6,1.6,1.0,0.4,1.0,2.3,6.9
Kevin Love,82, 6-10,260,288,PF,26,CLE,75,75,33.8,5.5,12.7,.434,1.9,5.2,.367,3.6,7.5,.480,.509,3.4,4.3,.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4
Kevin Martin,79, 6-7,185,299,SG,31,MIN,39,36,33.4,6.8,16.0,.427,1.9,4.9,.393,4.9,11.1,.442,.487,4.4,4.9,.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9,20.0
Kevin Seraphin,81, 6-9,264,405,C,25,WAS,79,0,15.6,2.9,5.7,.513,0.0,0.0,.000,2.9,5.7,.516,.513,0.7,1.0,.707,1.1,2.5,3.6,0.7,0.1,0.7,1.2,2.5,6.6
Khris Middleton,79, 6-7,215,316,SF,23,MIL,79,58,30.1,5.1,11.0,.467,1.4,3.4,.407,3.8,7.6,.494,.530,1.7,2.0,.859,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4
Kirk Hinrich,75, 6-3,190,217,SG,34,CHI,66,22,24.4,2.2,5.8,.373,0.9,2.5,.345,1.3,3.2,.394,.449,0.5,0.8,.700,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7
Klay Thompson,79, 6-7,205,442,SG,24,GSW,77,77,31.9,7.8,16.9,.463,3.1,7.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
Kobe Bryant,78, 6-6,200,68,SG,36,LAL,35,35,34.5,7.6,20.4,.373,1.5,5.3,.293,6.1,15.1,.401,.411,5.6,6.9,.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3
Kris Humphries,81, 6-9,235,226,PF,29,WAS,64,17,21.0,3.3,7.0,.473,0.0,0.1,.000,3.3,6.9,.481,.473,1.4,1.8,.744,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2.0,8.0
Kyle Korver,79, 6-7,210,266,SG,33,ATL,75,75,32.2,3.9,8.0,.487,2.9,6.0,.492,0.9,2.0,.470,.671,1.4,1.6,.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1
Kyle Lowry,72, 6-0,175,289,PG,28,TOR,70,70,34.5,6.1,14.9,.412,1.9,5.6,.338,4.3,9.3,.457,.476,3.6,4.5,.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8
Kyle O'Quinn,82, 6-10,240,350,PF,24,ORL,51,17,16.2,2.3,4.7,.492,0.2,0.8,.279,2.1,3.9,.538,.517,0.9,1.1,.772,0.9,3.0,3.9,1.2,0.6,0.8,1.1,2.2,5.8
Kyle Singler,80, 6-8,230,410,SF,26,TOT,80,58,21.8,2.2,5.6,.386,1.2,3.0,.398,1.0,2.6,.371,.493,0.5,0.7,.769,0.4,2.0,2.4,1.1,0.6,0.3,0.7,1.9,6.0
Kyrie Irving,74, 6-2,180,231,PG,22,CLE,75,75,36.4,7.7,16.5,.468,2.1,5.0,.415,5.6,11.4,.491,.532,4.2,4.9,.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
LaMarcus Aldridge,83, 6-11,240,9,PF,29,POR,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,8.8,18.5,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4
Lance Stephenson,77, 6-5,210,423,SG,24,CHO,61,25,25.8,3.4,9.0,.376,0.3,1.7,.171,3.1,7.3,.425,.393,1.1,1.8,.627,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2
Lance Thomas,80, 6-8,225,437,PF-SF,26,TOT,62,37,24.0,2.9,7.1,.412,0.1,0.4,.318,2.8,6.8,.417,.420,1.2,1.6,.727,1.0,2.1,3.1,1.1,0.6,0.1,1.2,1.6,7.1
Landry Fields,79, 6-7,210,154,SF,26,TOR,26,9,8.3,0.8,1.6,.488,0.0,0.1,.500,0.7,1.5,.487,.500,0.2,0.2,.833,0.4,0.6,1.0,0.6,0.4,0.0,0.3,0.3,1.8
Larry Drew,73, 6-1,170,134,PG,24,PHI,12,1,18.3,1.7,4.8,.345,0.3,2.2,.154,1.3,2.7,.500,.379,0.2,0.3,.667,0.1,1.2,1.3,3.8,0.5,0.0,2.1,1.1,3.8
LeBron James,80, 6-8,240,235,SF,30,CLE,69,69,36.1,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,.535,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3
Leandro Barbosa,75, 6-3,176,29,SG,32,GSW,66,1,14.9,2.8,5.8,.474,0.7,1.7,.384,2.1,4.2,.511,.530,0.9,1.1,.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1
Lester Hudson,75, 6-3,190,224,SG,30,LAC,5,0,11.2,1.2,2.8,.429,0.6,1.2,.500,0.6,1.6,.375,.536,0.6,0.8,.750,0.2,1.4,1.6,1.0,1.2,0.2,0.6,0.8,3.6
Lorenzo Brown,77, 6-5,189,65,PG,24,MIN,29,7,18.9,1.8,4.2,.426,0.2,1.0,.214,1.6,3.2,.489,.451,0.4,0.7,.632,0.5,1.9,2.4,3.1,1.0,0.2,1.0,1.7,4.2
Luc Mbah a Moute,80, 6-8,230,303,PF,28,PHI,67,61,28.6,3.7,9.5,.395,0.9,3.0,.307,2.8,6.5,.435,.443,1.4,2.4,.589,1.2,3.7,4.9,1.6,1.2,0.3,1.5,1.6,9.9
Luigi Datome,80, 6-8,215,115,SF,27,TOT,21,1,10.0,2.0,4.2,.483,0.9,1.9,.450,1.2,2.3,.510,.584,0.0,0.0,1.000,0.1,1.2,1.4,0.4,0.1,0.3,0.4,0.7,5.0
Luis Scola,81, 6-9,245,402,PF,34,IND,81,16,20.5,3.7,7.9,.467,0.1,0.2,.250,3.6,7.7,.474,.471,2.0,2.8,.699,1.7,4.8,6.5,1.3,0.6,0.2,1.2,2.4,9.4
Luke Babbitt,81, 6-9,225,27,SF,25,NOP,63,19,13.2,1.5,3.0,.479,0.9,1.8,.513,0.5,1.2,.429,.633,0.2,0.3,.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1.0,4.1
Luke Ridnour,74, 6-2,175,384,PG,33,ORL,47,0,14.5,1.6,3.7,.426,0.4,1.3,.317,1.2,2.4,.487,.483,0.4,0.4,.857,0.2,1.3,1.4,2.0,0.4,0.1,0.8,1.4,4.0
Luol Deng,80, 6-8,220,124,SF,29,MIA,72,72,33.6,5.1,10.9,.469,1.1,3.1,.355,4.0,7.9,.513,.518,2.7,3.5,.761,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14.0
Malcolm Thomas,81, 6-9,225,438,PF,26,PHI,17,0,11.4,1.1,2.4,.450,0.0,0.4,.000,1.1,1.9,.545,.450,0.5,0.8,.692,0.9,2.4,3.3,0.4,0.2,0.1,0.8,1.0,2.6
Manu Ginobili,78, 6-6,210,172,SG,37,SAS,70,0,22.7,3.6,8.4,.426,1.3,3.7,.345,2.3,4.7,.489,.502,2.1,2.9,.721,0.4,2.6,3.0,4.2,1.0,0.3,2.2,2.0,10.5
Marc Gasol,85, 7-1,265,166,C,30,MEM,81,81,33.2,6.5,13.2,.494,0.0,0.2,.176,6.5,13.0,.500,.496,4.3,5.4,.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4
Marcin Gortat,83, 6-11,240,180,C,30,WAS,82,82,29.9,5.4,9.5,.566,0.0,0.0,.000,5.4,9.4,.569,.566,1.5,2.1,.703,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2
Marco Belinelli,77, 6-5,192,43,SG,28,SAS,62,9,22.4,3.2,7.6,.423,1.4,3.7,.374,1.8,3.9,.471,.515,1.4,1.6,.848,0.4,2.1,2.5,1.5,0.5,0.0,1.0,1.4,9.2
Marcus Morris,81, 6-9,235,331,PF,25,PHO,81,35,25.2,4.1,9.4,.434,1.4,3.9,.358,2.7,5.6,.487,.507,0.9,1.4,.628,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4
Marcus Thornton,76, 6-4,205,444,SG,27,TOT,48,0,15.0,2.9,7.2,.406,1.1,3.0,.378,1.8,4.2,.426,.484,1.0,1.2,.821,0.5,1.3,1.8,0.8,0.6,0.1,0.6,0.8,7.9
Mario Chalmers,73, 6-1,190,88,PG,28,MIA,80,37,29.6,3.3,8.3,.403,0.9,3.1,.294,2.4,5.2,.467,.458,2.6,3.3,.774,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2
Markieff Morris,82, 6-10,245,332,PF,25,PHO,82,82,31.5,6.2,13.4,.465,0.7,2.2,.318,5.5,11.2,.494,.491,2.2,2.8,.763,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3
Marreese Speights,82, 6-10,245,420,C,27,GSW,76,9,15.9,4.2,8.5,.492,0.1,0.2,.278,4.1,8.3,.498,.496,2.0,2.3,.843,1.4,2.8,4.3,0.9,0.3,0.4,1.1,2.5,10.4
Martell Webster,79, 6-7,210,468,SF,28,WAS,32,0,11.0,0.8,2.8,.264,0.3,1.3,.233,0.4,1.5,.292,.319,1.5,2.0,.750,0.3,1.1,1.4,0.5,0.2,0.0,0.7,0.8,3.3
Marvin Williams,81, 6-9,230,479,PF,28,CHO,78,37,26.1,2.7,6.3,.424,1.2,3.4,.358,1.5,2.9,.500,.520,0.8,1.1,.713,0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,7.4
Mason Plumlee,82, 6-10,235,367,C,24,BRK,82,45,21.3,3.4,6.0,.573,0.0,0.0,.000,3.4,5.9,.576,.573,1.9,3.9,.495,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7
Matt Barnes,79, 6-7,235,33,SF,34,LAC,76,74,29.9,3.6,8.2,.444,1.8,4.9,.362,1.9,3.3,.569,.553,1.0,1.3,.779,0.7,3.3,4.0,1.5,0.9,0.7,1.1,3.2,10.1
Matt Bonner,82, 6-10,240,56,PF,34,SAS,72,19,13.0,1.3,3.2,.409,0.6,1.8,.365,0.7,1.4,.462,.509,0.4,0.5,.811,0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,3.7
Matthew Dellavedova,76, 6-4,200,123,SG,24,CLE,67,13,20.6,1.7,4.6,.362,1.0,2.5,.407,0.6,2.1,.307,.472,0.4,0.6,.763,0.6,1.3,1.9,3.0,0.4,0.0,0.9,2.3,4.8
Maurice Harkless,80, 6-8,208,198,SF,21,ORL,45,4,15.0,1.4,3.5,.399,0.2,1.2,.179,1.2,2.3,.520,.430,0.5,0.9,.537,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5
Meyers Leonard,85, 7-1,245,281,C,22,POR,55,7,15.4,2.3,4.5,.510,0.9,2.0,.420,1.4,2.4,.586,.606,0.5,0.6,.938,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9
Michael Beasley,81, 6-9,235,42,PF,26,MIA,24,1,21.0,3.8,8.8,.434,0.3,1.4,.235,3.5,7.4,.472,.453,0.8,1.1,.769,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8
Michael Carter-Williams,78, 6-6,185,86,PG,23,TOT,66,63,32.6,5.5,13.9,.396,0.5,2.3,.235,5.0,11.6,.428,.416,3.1,4.4,.694,1.0,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6
Mike Conley,73, 6-1,180,100,PG,27,MEM,70,70,31.8,5.6,12.6,.446,1.5,4.0,.386,4.1,8.6,.473,.506,3.1,3.6,.859,0.4,2.6,3.0,5.4,1.3,0.2,2.2,2.0,15.8
Mike Dunleavy,75, 6-3,180,138,SF,34,CHI,63,63,29.2,3.3,7.6,.435,1.7,4.2,.407,1.6,3.5,.468,.546,1.1,1.4,.805,0.4,3.5,3.9,1.8,0.6,0.3,1.0,2.0,9.4
Mike Miller,80, 6-8,218,320,SF,34,CLE,52,15,13.5,0.7,2.2,.325,0.6,1.9,.327,0.1,0.3,.313,.465,0.1,0.1,.750,0.1,1.7,1.8,0.9,0.3,0.1,0.4,1.4,2.1
Mike Muscala,83, 6-11,239,338,PF,23,ATL,40,8,12.6,2.1,3.8,.550,0.2,0.6,.409,1.9,3.2,.574,.579,0.6,0.6,.880,1.3,1.7,3.0,0.6,0.4,0.5,0.5,1.3,4.9
Mike Scott,80, 6-8,237,403,PF,26,ATL,68,0,16.5,3.0,6.7,.444,1.0,2.8,.344,2.0,3.8,.517,.517,0.9,1.1,.792,0.7,2.3,2.9,1.1,0.4,0.0,0.6,1.2,7.8
Mirza Teletovic,80, 6-8,235,432,PF,29,BRK,40,4,22.3,3.1,8.0,.382,1.6,4.8,.321,1.5,3.2,.476,.480,0.8,1.2,.717,0.7,4.2,4.9,1.2,0.4,0.4,1.3,1.9,8.5
Mo Williams,73, 6-1,185,480,PG,32,TOT,68,33,29.1,5.0,12.6,.397,1.8,5.1,.342,3.3,7.5,.434,.466,2.4,2.8,.872,0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2
Monta Ellis,75, 6-3,175,142,SG,29,DAL,80,80,33.7,7.5,16.9,.445,1.0,3.6,.285,6.5,13.4,.487,.475,2.9,3.8,.752,0.4,2.0,2.4,4.1,1.9,0.3,2.5,2.5,18.9
Nate Robinson,69, 5-9,180,389,PG,30,TOT,42,1,14.1,2.1,6.1,.345,0.7,2.7,.277,1.4,3.4,.399,.406,0.7,1.1,.674,0.4,0.8,1.2,2.3,0.5,0.1,0.7,1.8,5.7
Nate Wolters,76, 6-4,190,484,PG,23,TOT,21,0,11.8,1.0,2.7,.351,0.0,0.3,.000,1.0,2.4,.400,.351,0.1,0.3,.333,0.4,1.2,1.6,1.0,0.4,0.1,0.6,0.9,2.0
Nick Calathes,78, 6-6,213,79,SG,25,MEM,58,0,14.4,1.8,4.3,.421,0.2,0.7,.256,1.6,3.5,.456,.443,0.4,0.8,.533,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2
Nick Collison,81, 6-9,255,99,PF,34,OKC,66,2,16.7,1.6,3.8,.419,0.2,0.9,.267,1.4,2.9,.466,.451,0.7,1.0,.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1
Nick Young,78, 6-6,200,489,SG,29,LAL,42,0,23.8,4.1,11.3,.366,2.0,5.4,.369,2.2,6.0,.363,.453,3.1,3.5,.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4
Nicolas Batum,80, 6-8,200,37,SF,26,POR,71,71,33.5,3.4,8.5,.400,1.4,4.4,.324,2.0,4.1,.481,.483,1.2,1.4,.857,0.9,5.0,5.9,4.8,1.1,0.6,1.9,1.5,9.4
Nikola Vucevic,82, 6-10,240,457,C,24,ORL,74,74,34.2,8.5,16.3,.523,0.0,0.1,.333,8.5,16.2,.524,.524,2.2,2.9,.752,3.2,7.7,10.9,2.0,0.7,0.7,2.0,3.0,19.3
Norris Cole,74, 6-2,170,97,PG,26,TOT,75,25,24.4,3.1,7.4,.412,0.7,2.3,.313,2.3,5.1,.458,.461,0.8,1.1,.716,0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6
O.J. Mayo,76, 6-4,210,302,SG,27,MIL,71,15,23.9,4.2,9.9,.422,1.4,3.9,.357,2.8,6.0,.465,.493,1.6,2.0,.827,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4
Omri Casspi,81, 6-9,225,87,SF,26,SAC,67,19,21.1,3.1,6.4,.489,0.5,1.3,.402,2.6,5.1,.512,.530,2.1,2.9,.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9
Otto Porter,81, 6-9,198,370,SF,21,WAS,74,13,19.4,2.4,5.3,.450,0.5,1.4,.337,1.9,3.9,.491,.495,0.8,1.1,.734,0.9,2.0,3.0,0.9,0.6,0.4,0.7,1.3,6.0
P.J. Tucker,77, 6-5,225,446,SF,29,PHO,78,63,30.6,3.3,7.6,.438,1.1,3.2,.345,2.2,4.4,.506,.511,1.3,1.8,.727,1.5,5.0,6.4,1.6,1.4,0.3,1.2,2.3,9.1
Pablo Prigioni,75, 6-3,180,375,PG,37,TOT,67,3,17.9,1.4,3.4,.399,0.9,2.5,.343,0.5,0.9,.548,.524,0.5,0.6,.854,0.4,1.3,1.8,2.6,1.2,0.0,0.9,1.3,4.1
Patrick Beverley,73, 6-1,180,46,PG,26,HOU,56,55,30.8,3.6,9.5,.383,2.1,5.8,.356,1.6,3.7,.426,.492,0.8,1.1,.750,1.2,3.0,4.2,3.4,1.1,0.4,1.5,3.3,10.1
Patrick Patterson,81, 6-9,235,360,PF,25,TOR,81,4,26.6,3.0,6.6,.449,1.3,3.5,.371,1.7,3.1,.536,.547,0.8,1.0,.788,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8.0
Pau Gasol,84, 7-0,227,167,PF,34,CHI,78,78,34.4,7.3,14.8,.494,0.2,0.3,.462,7.2,14.4,.495,.500,3.8,4.7,.803,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,18.5
Paul George,81, 6-9,220,170,SF,24,IND,6,0,15.2,3.0,8.2,.367,1.5,3.7,.409,1.5,4.5,.333,.459,1.3,1.8,.727,0.7,3.0,3.7,1.0,0.8,0.2,2.0,1.8,8.8
Paul Millsap,80, 6-8,245,324,PF,29,ATL,73,73,32.7,6.1,12.7,.476,1.1,3.0,.356,5.0,9.8,.513,.518,3.5,4.6,.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7
Paul Pierce,78, 6-6,230,366,SF,37,WAS,73,73,26.2,4.0,9.0,.447,1.6,4.2,.389,2.4,4.8,.496,.537,2.2,2.9,.781,0.6,3.4,4.0,2.0,0.6,0.3,1.3,2.2,11.9
Pero Antic,83, 6-11,260,21,C,32,ATL,63,3,16.5,1.7,4.7,.365,0.8,2.7,.301,0.9,2.0,.455,.453,1.4,2.0,.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,5.7
Perry Jones,83, 6-11,235,252,SF,23,OKC,43,13,14.7,1.7,4.3,.397,0.3,1.4,.233,1.4,2.9,.476,.435,0.6,0.9,.649,0.1,1.6,1.8,0.4,0.4,0.2,0.6,1.2,4.3
Phil Pressey,71, 5-11,175,372,PG,23,BOS,50,0,12.0,1.3,3.5,.368,0.3,1.3,.246,1.0,2.2,.440,.414,0.7,1.0,.673,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5
Quincy Acy,79, 6-7,233,1,PF,24,NYK,68,22,18.9,2.2,4.9,.459,0.3,0.9,.300,2.0,4.0,.494,.486,1.1,1.4,.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9
Quincy Miller,81, 6-9,210,321,PF,22,TOT,10,0,11.9,0.9,3.8,.237,0.3,1.8,.167,0.6,2.0,.300,.276,0.8,1.1,.727,0.4,1.6,2.0,0.8,0.7,0.5,0.5,0.9,2.9
Quincy Pondexter,78, 6-6,225,369,SF-SG,26,TOT,75,30,23.9,2.5,6.0,.421,1.2,3.3,.373,1.3,2.7,.478,.522,0.9,1.3,.740,0.7,1.9,2.6,1.3,0.3,0.3,0.7,2.0,7.2
Rajon Rondo,73, 6-1,171,391,PG,28,TOT,68,68,29.7,4.0,9.5,.426,0.4,1.3,.314,3.6,8.2,.444,.447,0.5,1.1,.397,1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.3,8.9
Ramon Sessions,75, 6-3,190,406,PG,28,TOT,64,10,18.6,2.0,5.2,.374,0.3,0.9,.317,1.7,4.3,.387,.403,2.1,2.7,.769,0.4,1.9,2.3,2.8,0.5,0.0,1.3,1.1,6.3
Randy Foye,76, 6-4,210,156,SG,31,DEN,50,21,21.7,3.0,8.0,.368,1.9,5.3,.357,1.1,2.8,.388,.485,0.9,1.1,.818,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7
Rasual Butler,79, 6-7,205,75,SF,35,WAS,75,1,20.1,2.9,6.9,.422,1.2,3.1,.387,1.7,3.8,.450,.510,0.7,0.9,.791,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7
Ray McCallum,75, 6-3,190,305,PG,23,SAC,68,30,21.1,3.0,6.9,.438,0.5,1.6,.306,2.5,5.3,.479,.474,0.8,1.2,.679,0.8,1.9,2.6,2.8,0.7,0.2,1.3,1.4,7.4
